class,specobjid,ra,dec,z,sigma_forbidden,oiii_5007_flux,nii_6584_flux,h_beta_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_eqw
GALAXY,306376198865315840,155.97291,0.153419,0.09221534,69.61804,16.82182,59.04694,55.07727,200.2545,35.55856,26.37338,8.858481,-29.53137
GALAXY,306380322033920000,156.06509,0.31389335,0.09771555,104.4989,19.72946,151.1802,76.35553,316.5566,53.27155,45.67887,11.22076,-21.06979
GALAXY,306388568371128320,156.44678,1.0783719,0.09823938,64.65438,9.5432,37.34291,24.08021,106.191,22.17446,12.82864,5.688962,-16.12121
GALAXY,306394340807174144,156.55869,0.50423344,0.08920039,128.0147,14.99492,86.67382,34.10879,158.5034,38.73835,29.33059,3.66447,-10.88745
GALAXY,306404511289731072,156.89066,0.53896858,0.0729344,53.39899,4.870814,-2.12324,7.080068,6.188579,-1.33745,-0.9374297,-0.3702871,-0.3225996
GALAXY,307375930081306624,159.00777,-0.63012616,0.09535529,169.2056,18.7117,25.62106,2.548477,14.52813,8.736624,9.817139,1.425865,-0.5474373
GALAXY,307379228616189952,159.26551,-0.35508684,0.1916175,171.9025,14.39345,6.586809,-1.274208,2.109002,-8.110425,0.8679113,-1.435239,-0.08321757
GALAXY,307394621778978816,158.33855,-1.1537558,0.3318573,1,0.2461247,-14.67879,0.7666607,4.913723,-1.043549,-4.074781,-2.385567,-0.05561502
GALAXY,307398195191769088,158.23674,-0.80278486,0.07345483,70.571,15.59067,15.09462,8.001962,28.86894,9.93901,8.078748,1.749061,-2.354681
GALAXY,307414138110371840,158.54674,-0.4611395,0.1154692,109.075,11.61893,29.00721,14.23822,52.35075,12.77679,9.458518,-1.25964,-4.838931
GALAXY,307414962744092672,158.25288,-0.38042788,0.05515788,121.9589,18.64011,124.244,30.76585,213.4651,44.20218,33.18044,13.79233,-7.939682
GALAXY,307422934203394048,158.00184,-0.36175755,0.06439669,173.182,17.22904,11.72868,8.619915,22.85214,9.027954,-3.754896,0.9547276,-0.780327
GALAXY,307445749069670400,157.19252,-0.3719216,0.09474438,59.16052,9.01057,36.48624,22.75712,112.8304,16.36095,11.13292,3.736641,-11.74283
